sigla_tribunal,total_julgados_2026,Meta1,Meta2A,Meta2Ant,Meta4A,Meta4B
TRE-AC,42.00,66.67,98.78,0.00,0.00,16.67
TRE-AL,78.00,17.53,93.16,0.00,0.00,6.25
TRE-AM,281.00,45.03,97.91,0.00,0.00,11.25
TRE-AP,19.00,44.19,99.60,0.00,0.00,12.50
TRE-BA,387.00,61.14,99.50,33.33,0.00,13.97
TRE-CE,108.00,68.35,99.47,0.00,0.00,7.93
TRE-DF,8.00,21.62,73.86,0.00,0.00,0.00
TRE-ES,242.00,57.35,96.80,0.00,0.00,11.76
TRE-GO,263.00,43.47,98.86,7.14,0.00,19.59
TRE-MA,214.00,47.14,98.75,50.00,0.00,16.79
TRE-MG,613.00,26.61,98.23,0.00,0.00,5.29
TRE-MS,88.00,89.80,99.25,0.00,0.00,21.21
TRE-MT,0.00,0.00,98.90,0.00,0.00,0.00
TRE-PA,291.00,39.65,99.47,0.00,0.00,18.62
TRE-PB,282.00,47.32,94.58,0.00,0.00,22.67
TRE-PE,107.00,32.13,99.42,0.00,0.00,0.00
TRE-PI,223.00,36.03,95.68,0.00,50.00,20.75
TRE-PR,397.00,69.77,99.46,0.00,0.00,24.27
TRE-RJ,66.00,12.07,92.67,0.00,0.00,0.27
TRE-RN,461.00,46.57,98.94,0.00,33.33,21.15
TRE-RO,87.00,81.31,99.32,0.00,50.00,21.67
TRE-RR,16.00,37.21,98.68,0.00,0.00,0.00
TRE-RS,591.00,43.62,98.72,11.11,0.00,3.69
TRE-SC,260.00,41.34,97.89,0.00,16.67,4.00
TRE-SE,111.00,47.64,97.43,0.00,0.00,12.33
TRE-SP,2153.00,66.14,96.15,17.39,0.00,20.78
TRE-TO,84.00,42.86,99.27,0.00,0.00,2.13
